نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,سكني,الرياض,الرياض,شمالية,900,1500.0,1350000
أرض,سكني,حريملاء,الرياض,شرقية,810,1350.0,1093500
أرض,تجاري وسكني,الرياض,البيان,شمالية,1500,1000.0,1500000
أرض,تجاري وسكني,الرياض,طيبة,غير معروف,6889,1000.0,6889000
أرض,تجاري وسكني,الرياض,طيبة,جنوبية,1843,1000.0,1843000
أرض,تجاري وسكني,الرياض,طيبة,غير معروف,1843,1000.0,1843000
أرض,تجاري وسكني,الرياض,الملك عبدالله,غير معروف,8217,3000.0,24651000
أرض,تجاري وسكني,الرياض,الرياض,غير معروف,8217,3000.0,24651000
أرض,تجاري وسكني,الرياض,ظهرة لبن,غير معروف,750,3000.0,2250000
أرض,تجاري وسكني,الرياض,ظهرة لبن,شمالية شرقية,900,3000.0,2700000
أرض,تجاري وسكني,الرياض,المروة,شرقية,2625,4500.0,11812500
أرض,تجاري وسكني,الرياض,المروة,شرقية,900,4500.0,4050000
أرض,تجاري وسكني,الرياض,الرياض,جنوبية,372,4500.0,1674000
أرض,تجاري وسكني,الرياض,الرياض,شرقية,747,6500.0,4855500
أرض,تجاري,الرياض,السلي,شمالية,2800,4000.0,11200000
أرض,سكني,الرياض,النرجس,جنوبية,900,1320.0,1188000
أرض,سكني,الرياض,طويق,جنوبية شرقية,900,1600.0,1440000
أرض,سكني,الرياض,النرجس,شمالية غربية,425,4250.0,1806250
أرض,سكني,الرياض,الجزيرة,غير معروف,1800,4250.0,7650000
أرض,سكني,الرياض,العارض,شمالية غربية,425,3100.0,1317500
أرض,سكني,الرياض,المناخ,شمالية,630,1600.0,1008000
أرض,سكني,الرياض,القادسية,جنوبية,3000,3080.0,9240000
أرض,سكني,الرياض,القادسية,جنوبية,890,1179.0,1049310
أرض,سكني,الرياض,ظهرة لبن,جنوبية غربية,1400,3100.0,4340000
أرض,سكني,الرياض,الرفيعة,شمالية شرقية,483,5800.0,2801400
أرض,سكني,حريملاء,الرياض,شمالية,910,5800.0,5278000
أرض,سكني,الرياض,الرياض,جنوبية,1752,1997.0,3498744
أرض,سكني,الرياض,النرجس,شرقية,594,5000.0,2970000
أرض,سكني,الرياض,اليرموك,جنوبية,1089,3400.0,3702600
أرض,سكني,الرياض,اليرموك,جنوبية,1089,3200.0,3484800
أرض,سكني,الرياض,النرجس,جنوبية,1089,3200.0,3484800
أرض,سكني,حريملاء,الرياض,جنوبية غربية,408,3200.0,1305600
أرض,سكني,الرياض,المونسية,شمالية,875,4000.0,3500000
أرض,سكني,حريملاء,الرياض,شرقية,375,4000.0,1500000
أرض,سكني,الرياض,الرفيعة,شمالية شرقية,483,5800.0,2801400
أرض,سكني,الرياض,الرياض,شمالية,1627,1455.0,2367285
أرض,سكني,الرياض,حطين,شمالية غربية,4000,1455.0,5820000
أرض,سكني,الرياض,حطين,شمالية,1627,1455.0,2367285
